GENE	LOEUF	pLI
HLA-DMB	0.98	0
XXbac-BPG181M17.5	0.94	0.08
HLA-DMA	0.98	0
BRD2	0.22	1
HLA-DOA	1.85	0
HLA-DPA1	1.57	0
HLA-DPB1	1.6	0
COL11A2	0.31	0.7
RXRB	0.22	1
SLC39A7	0.61	0.08
HSD17B8	1.09	0
RING1	0.47	0.65
VPS52	0.49	0
RPS18	0.26	0.98
B3GALT4	0.73	0.03
WDR46	0.95	0
PFDN6	0.34	0.94
RGL2	0.45	0.03
TAPBP	1.18	0
ZBTB22	0.58	0.22
DAXX	0.5	0.1
KIFC1	0.6	0
PHF1	0.2	1
CUTA	1.65	0
SYNGAP1	0.05	1
ZBTB9	0.74	0.07
BAK1	1.37	0
ITPR3	0.57	0
UQCC2	1.04	0.02
IP6K3	1.22	0
LEMD2	0.41	0.75
MLN	1.58	0
GRM4	0.28	0.99
HMGA1	0.51	0.83
C6orf1	0.95	0.62
NUDT3	0.66	0.43
RPS10-NUDT3	0.34	0.95
RPS10	0.27	0.97
PACSIN1	0.2	1
SPDEF	0.31	0.97
C6orf106	0.42	0.85
SNRPC	0.56	0.72
UHRF1BP1	0.65	0
TAF11	0.83	0.11
ANKS1A	0.34	0.81
TCP11	1.04	0
SCUBE3	0.25	1
ZNF76	1.3	0
DEF6	0.26	1
PPARD	0.19	0.99
FANCE	0.89	0
RPL10A	0.44	0.85
TEAD3	0.26	0.99
TULP1	0.6	0
FKBP5	0.42	0.73
ARMC12	1.05	0
CLPSL2	1.59	0.19
CLPSL1	1.93	0
CLPS	1.77	0.01
LHFPL5	1.43	0
SRPK1	0.6	0
SLC26A8	0.83	0
MAPK14	0.47	0.37
MAPK13	1.11	0
BRPF3	0.18	1
PNPLA1	0.75	0
C6orf222	1.32	0
ETV7	1.53	0
PXT1	1.94	0
KCTD20	0.79	0
STK38	0.64	0
SRSF3	0.29	0.96
CDKN1A	1.38	0
RAB44	1.03	0
CPNE5	0.55	0
PPIL1	0.81	0.12
C6orf89	1.09	0
PI16	1.31	0
MTCH1	0.44	0.65
FGD2	0.81	0
COX6A1P2	1.63	0.43
PIM1	0.42	0.85
TMEM217	1.5	0
TBC1D22B	0.5	0.03
RNF8	0.18	1
CMTR1	0.29	0.99
CCDC167	1.94	0
MDGA1	0.31	0.98
ZFAND3	0.38	0.92
BTBD9	0.87	0
GLO1	1.46	0
DNAH8	0.68	0
GLP1R	0.44	0.29
SAYSD1	1.65	0
KCNK5	0.53	0.33
KCNK17	1.47	0
KCNK16	1.42	0
KIF6	1.1	0
DAAM2	0.09	1
MOCS1	1.08	0
LRFN2	0.71	0.01
UNC5CL	1.29	0
OARD1	1.34	0
TSPO2	1.61	0
APOBEC2	1.06	0.02
NFYA	0.51	0.15
TREML1	1.84	0
TREM2	1.79	0
TREML2	1.72	0
TREML4	1.76	0
TREM1	1.02	0.01
NCR2	1.44	0
FOXP4	0.31	0.98
MDFI	0.73	0.33
TFEB	0.38	0.9
AL035588.1	1.8	0.35
PGC	1.32	0
FRS3	0.46	0.55
PRICKLE4	1.07	0
TOMM6	1.56	0.19
USP49	0.35	0.94
MED20	0.77	0.3
BYSL	0.81	0
CCND3	0.24	0.98
TAF8	1.57	0
C6orf132	0.84	0
RP1-139D8.6	1.58	0.06
GUCA1A	1.42	0
GUCA1B	1.24	0
MRPS10	1.73	0
TRERF1	0.11	1
UBR2	0.21	1
PRPH2	0.67	0.12
TBCC	1.5	0
GLTSCR1L	0.07	1
RPL7L1	1.05	0
C6orf226	1.88	0.3
PTCRA	1.07	0.14
CNPY3	0.57	0.4
GNMT	0.95	0
PEX6	0.65	0
PPP2R5D	0.17	1
MEA1	1.59	0
KLHDC3	0.15	1
RRP36	1.62	0
CUL7	0.73	0
KLC4	0.53	0
MRPL2	1.15	0
PTK7	0.28	1
SRF	0.3	0.98
CUL9	0.28	0.99
DNPH1	1.26	0.03
TTBK1	0.23	1
SLC22A7	1.05	0
CRIP3	1.01	0
ZNF318	0.34	0.37
ABCC10	0.94	0
DLK2	0.46	0.78
TJAP1	0.87	0
LRRC73	0.81	0.05
POLR1C	1.4	0
YIPF3	0.56	0.14
XPO5	0.25	1
POLH	0.84	0
GTPBP2	0.43	0.32
MAD2L1BP	1.4	0
RSPH9	1.63	0
MRPS18A	1.34	0
VEGFA	0.84	0
C6orf223	1.76	0
MRPL14	1.78	0
TMEM63B	0.17	1
CAPN11	1.15	0
SLC29A1	0.38	0.9
HSP90AB1	0.21	1
SLC35B2	0.63	0.07
NFKBIE	0.43	0.77
TMEM151B	0.64	0.14
TCTE1	1.45	0
AARS2	0.83	0
SPATS1	1.26	0
CDC5L	0.13	1
SUPT3H	1.26	0
RUNX2	0.34	0.95
CLIC5	1.17	0
ENPP4	0.66	0.12
ENPP5	1.47	0
RCAN2	0.46	0.83
CYP39A1	1.38	0
SLC25A27	0.72	0
TDRD6	1.22	0
PLA2G7	1.71	0
ANKRD66	1.79	0
MEP1A	0.92	0
GPR116	0.4	0.02
GPR110	1.23	0
TNFRSF21	0.61	0.04
CD2AP	0.41	0.23
GPR111	1.82	0
GPR115	1.22	0
OPN5	0.4	0.86
PTCHD4	0.68	0
MUT	1.23	0
CENPQ	1.35	0
GLYATL3	1.4	0
C6orf141	NA	 NA
RHAG	0.65	0.01
CRISP2	1.68	0
CRISP3	1.11	0
PGK2	1.61	0
CRISP1	1.36	0
DEFB133	1.9	0.28
DEFB114	1.89	0.09
DEFB113	1.89	0.09
DEFB110	1.92	0.02
DEFB112	1.9	0.02
TFAP2D	0.25	0.99
TFAP2B	0.26	0.99
PKHD1	0.68	0
IL17A	1.14	0.04
IL17F	1.18	0.04
MCM3	0.75	0
PAQR8	0.76	0.15
EFHC1	1.21	0
TRAM2	0.35	0.94
TMEM14A	1.41	0.02
GSTA2	1.68	0
GSTA1	1.63	0
GSTA5	1.91	0
GSTA3	1.12	0
GSTA4	0.9	0.01
ICK	0.61	0
FBXO9	0.7	0
GCM1	0.15	1
ELOVL5	0.35	0.93
GCLC	0.4	0.43
KLHL31	0.91	0
LRRC1	0.34	0.93
MLIP	1.39	0
TINAG	1.42	0
FAM83B	0.68	0
HCRTR2	0.64	0.01
GFRAL	1.26	0
HMGCLL1	1.07	0
BMP5	0.7	0
COL21A1	1	0
DST	0.18	1
BEND6	0.98	0
KIAA1586	1.12	0
ZNF451	0.78	0
BAG2	1.15	0.04
RAB23	0.83	0.01
PRIM2	1.03	0
MTRNR2L9	NA	 NA
KHDRBS2	0.61	0.04
FKBP1C	1.75	0.04
LGSN	1.56	0
PTP4A1	0.79	0.28
PHF3	0.29	0.99
EYS	0.83	0
BAI3	0.14	1
LMBRD1	0.93	0
COL19A1	0.93	0
COL9A1	0.81	0
FAM135A	0.27	1
C6orf57	1.28	0.1
SMAP1	0.26	0.99
B3GAT2	1.35	0
OGFRL1	0.75	0
RIMS1	0.28	0.99
KCNQ5	0.31	0.98
KHDC1L	1.36	0.09
KHDC1	1.78	0
DPPA5	1.58	0
KHDC3L	1.16	0.12
OOEP	1.7	0
DDX43	0.59	0
MB21D1	1.29	0
MTO1	0.64	0
EEF1A1	0.29	0.98
SLC17A5	1.04	0
CD109	1.19	0
COL12A1	0.28	0.97
COX7A2	1.54	0
TMEM30A	0.77	0
FILIP1	0.7	0
SENP6	0.21	1
MYO6	0.42	0
IMPG1	1.35	0
HTR1B	0.71	0.19
IRAK1BP1	1.4	0
PHIP	0.11	1
HMGN3	1.03	0.06
LCA5	0.65	0
SH3BGRL2	1.91	0
ELOVL4	0.41	0.83
TTK	0.46	0
BCKDHB	1.1	0
FAM46A	0.37	0.92
IBTK	0.41	0
TPBG	1.16	0.01
UBE3D	0.99	0
DOPEY1	0.25	1
AL139333.1	1.93	0.07
PGM3	0.65	0
RWDD2A	1.62	0
ME1	1.17	0
PRSS35	1.66	0
SNAP91	0.19	1
RIPPLY2	1.26	0.01
CYB5R4	0.94	0
MRAP2	1.88	0
KIAA1009	0.98	0
TBX18	0.19	1
NT5E	1.18	0
SNX14	0.83	0
SYNCRIP	0.21	1
HTR1E	0.78	0.29
CGA	1.05	0.35
ZNF292	0.14	1
GJB7	1.91	0
SMIM8	1.88	0.01
C6orf163	0.99	0
C6orf164	1.92	0.02
C6ORF165	1.14	0
SLC35A1	0.46	0.68
RARS2	0.92	0
ORC3	0.71	0
AKIRIN2	0.38	0.92
SPACA1	0.77	0.02
CNR1	0.6	0.51
RNGTT	0.41	0.37
PNRC1	0.39	0.91
SRSF12	0.72	0.03
PM20D2	0.99	0
GABRR1	1.25	0
GABRR2	0.89	0
UBE2J1	0.49	0.44
RRAGD	0.44	0.82
ANKRD6	0.91	0
LYRM2	1.87	0
MDN1	0.32	0
GJA10	1.42	0
BACH2	0.23	1
MAP3K7	0.21	1
EPHA7	0.13	1
MANEA	0.86	0
FUT9	0.71	0.08
UFL1	0.84	0
FHL5	1.61	0
GPR63	0.7	0.2
NDUFAF4	0.72	0.55
KLHL32	0.55	0.01
MMS22L	0.44	0
POU3F2	0.38	0.92
FBXL4	0.92	0
FAXC	0.36	0.93
COQ3	1.34	0
PNISR	0.18	1
USP45	1.06	0
CCNC	0.15	1
PRDM13	0.46	0.56
MCHR2	1.2	0
SIM1	0.25	1
ASCC3	0.57	0
GRIK2	0.26	1
HACE1	0.52	0
LIN28B	0.57	0.56
BVES	0.94	0
POPDC3	0.9	0.01
PREP	0.43	0.08
PRDM1	0.33	0.96
ATG5	0.29	0.98
AIM1	1.01	0
RTN4IP1	0.94	0
QRSL1	0.89	0
C6orf203	1.18	0
BEND3	0.35	0.94
PDSS2	1.13	0
SOBP	0.13	1
SCML4	0.97	0
SEC63	0.57	0
OSTM1	0.74	0.01
NR2E1	0.16	1
SNX3	0.84	0.25
LACE1	0.96	0
FOXO3	0.27	0.99
ARMC2	0.79	0
SESN1	0.66	0
CEP57L1	0.94	0
CD164	0.61	0.49
PPIL6	1.3	0
SMPD2	1.58	0
MICAL1	0.92	0
ZBTB24	0.66	0
AK9	0.74	0
FIG4	1.24	0
GPR6	0.98	0.07
WASF1	0.21	1
CDC40	0.31	0.98
METTL24	1.3	0
DDO	1.24	0
SLC22A16	1.85	0
CDK19	0.16	1
AMD1	0.28	0.98
GTF3C6	1.18	0
RPF2	0.68	0.05
SLC16A10	0.54	0.31
KIAA1919	1.13	0
REV3L	0.12	1
TRAF3IP2	0.98	0
FYN	0.28	0.99
WISP3	0.84	0
TUBE1	0.58	0.03
FAM229B	1.12	0.57
LAMA4	0.73	0
RFPL4B	NA	 NA
MARCKS	1.1	0.33
HDAC2	0.1	1
HS3ST5	0.74	0.17
FRK	1.08	0
NT5DC1	0.89	0
COL10A1	0.94	0
TSPYL4	1.28	0
DSE	0.38	0.63
TSPYL1	1.32	0
FAM26F	1.77	0.01
TRAPPC3L	1.51	0
FAM26E	1.17	0
FAM26D	1.67	0
RWDD1	0.39	0.91
RSPH4A	0.94	0
ZUFSP	0.96	0
KPNA5	0.63	0
FAM162B	1.88	0
GPRC6A	1.3	0
RFX6	0.47	0
VGLL2	0.57	0.71
ROS1	1.12	0
DCBLD1	0.79	0
GOPC	0.7	0
NUS1	0.25	0.98
SLC35F1	0.34	0.95
CEP85L	0.71	0
PLN	1.56	0.45
MCM9	0.87	0
ASF1A	0.48	0.81
FAM184A	0.89	0
MAN1A1	0.46	0.11
TBC1D32	0.9	0
GJA1	0.62	0.16
HSF2	0.32	0.98
SERINC1	0.61	0.01
PKIB	1.71	0.05
FABP7	1.65	0
SMPDL3A	1.79	0
CLVS2	0.86	0.01
TRDN	1.02	0
NKAIN2	0.77	0.02
RNF217	1	0
TPD52L1	1.24	0
HDDC2	1.19	0
HEY2	0.41	0.89
NCOA7	0.52	0
HINT3	1.78	0
TRMT11	1.12	0
CENPW	0.93	0.41
RSPO3	0.6	0.09
RNF146	0.44	0.82
ECHDC1	1.52	0
KIAA0408	0.8	0
SOGA3	0.4	0.68
C6orf58	1.31	0
THEMIS	0.87	0
PTPRK	0.31	0.9
LAMA2	0.73	0
ARHGAP18	0.86	0
TMEM244	1.22	0.01
L3MBTL3	0.27	1
SAMD3	1.22	0
TMEM200A	0.45	0.85
SMLR1	1.54	0.2
EPB41L2	0.29	0.99
AKAP7	1.22	0
ARG1	0.92	0
MED23	0.5	0
ENPP3	1.02	0
OR2A4	1.83	0.12
CTAGE9	NA	 NA
ENPP1	0.59	0
CTGF	1.06	0
MOXD1	1.45	0
STX7	1.02	0
TAAR8	1.52	0
TAAR6	1.07	0.02
TAAR5	1.93	0
TAAR2	1.81	0
TAAR1	1.43	0
VNN1	1.04	0
VNN3	1.12	0
VNN2	1.57	0
SLC18B1	1.51	0
RPS12	0.42	0.89
EYA4	0.45	0.05
TCF21	0.52	0.83
TBPL1	0.69	0.38
SLC2A12	0.87	0
SGK1	0.58	0
ALDH8A1	1.46	0
HBS1L	0.68	0
MYB	0.35	0.82
AHI1	0.95	0
PDE7B	0.42	0.55
MTFR2	1.11	0
BCLAF1	0.93	0
MAP7	0.38	0.42
MAP3K5	0.34	0.52
PEX7	1.42	0
SLC35D3	0.87	0.04
IL20RA	0.64	0.03
IL22RA2	1.86	0
IFNGR1	0.7	0.02
OLIG3	0.51	0.83
TNFAIP3	0.2	1
PERP	0.93	0.08
KIAA1244	0.2	1
PBOV1	NA	 NA
HEBP2	1.54	0
NHSL1	0.38	0.46
CCDC28A	1.65	0
ECT2L	1.5	0
REPS1	0.3	0.99
ABRACL	1.37	0.24
HECA	0.48	0.61
TXLNB	1.11	0
CITED2	0.63	0.76
NMBR	1.79	0
GJE1	1.23	0.11
VTA1	0.9	0
GPR126	0.47	0
HIVEP2	0.08	1
AIG1	1.38	0
ADAT2	1.57	0
AL031320.1	NA	 NA
PEX3	0.56	0.02
FUCA2	0.9	0
PHACTR2	0.69	0
LTV1	0.87	0
ZC2HC1B	1.62	0
PLAGL1	0.26	0.98
SF3B5	1.07	0.58
STX11	1.38	0
UTRN	0.43	0
EPM2A	1.34	0
FBXO30	0.45	0.36
SHPRH	0.42	0
GRM1	0.41	0.14
RAB32	1.29	0
ADGB	0.78	0
STXBP5	0.26	1
SAMD5	1.7	0.01
SASH1	0.44	0
UST	0.49	0.44
TAB2	0.1	1
SUMO4	NA	 NA
ZC3H12D	0.75	0.16
PPIL4	0.89	0
GINM1	1.35	0
KATNA1	0.7	0
LATS1	0.23	1
NUP43	0.84	0
PCMT1	0.46	0.78
LRP11	0.74	0
RAET1E	1.69	0
RAET1G	1.38	0
ULBP2	1.85	0
ULBP1	1.52	0
RAET1L	1.86	0
ULBP3	1.85	0
PPP1R14C	1.34	0
IYD	0.88	0
PLEKHG1	0.41	0.01
MTHFD1L	0.73	0
AKAP12	0.43	0.04
ZBTB2	0.16	1
RMND1	1.11	0
C6orf211	1.01	0
CCDC170	1.35	0
ESR1	0.19	1
SYNE1	0.42	0
MYCT1	1.45	0
VIP	1.41	0
FBXO5	0.32	0.97
MTRF1L	1.48	0
RGS17	0.64	0.27
OPRM1	1.31	0
IPCEF1	0.66	0
CNKSR3	0.49	0.03
SCAF8	0.1	1
TIAM2	0.43	0
TFB1M	1.4	0
CLDN20	1.9	0
NOX3	1.05	0
ARID1B	0.1	1
TMEM242	1.59	0
ZDHHC14	0.42	0.72
SNX9	0.37	0.71
SYNJ2	0.69	0
SERAC1	0.63	0
GTF2H5	1.71	0.05
TULP4	0.13	1
TMEM181	0.52	0.01
DYNLT1	1.5	0
SYTL3	1.23	0
EZR	0.44	0.18
C6orf99	1.81	0.13
RSPH3	0.93	0
TAGAP	0.42	0.85
FNDC1	0.59	0
SOD2	0.75	0.15
WTAP	0.13	1
ACAT2	1.14	0
TCP1	0.26	1
MRPL18	1.31	0
PNLDC1	0.98	0
MAS1	1.47	0
IGF2R	0.21	1
SLC22A1	1.67	0
SLC22A2	1.15	0
SLC22A3	1.03	0
LPA	1.52	0
PLG	0.44	0.01
MAP3K4	0.18	1
AGPAT4	0.53	0.1
PARK2	0.86	0
PACRG	1.24	0
AL078585.1	1.44	0.01
QKI	0.44	0.75
C6orf118	1.67	0
PDE10A	0.21	1
T	0.65	0.02
PRR18	1.52	0.46
SFT2D1	1.06	0
MPC1	1.19	0.04
RPS6KA2	0.45	0.01
RP11-514O12.4	1.01	0
RNASET2	0.96	0
FGFR1OP	0.73	0
CCR6	1.04	0.01
TCP10L2	1.32	0
GPR31	1.91	0.02
UNC93A	1.69	0
TTLL2	1.87	0.01
TCP10	1.2	0
MLLT4	0.21	1
KIF25	1.25	0
FRMD1	1.3	0
DACT2	1.26	0.01
SMOC2	0.62	0
THBS2	0.35	0.56
WDR27	0.89	0
C6orf120	NA	 NA
PHF10	0.64	0
TCTE3	1.83	0
ERMARD	1.02	0
DLL1	0.1	1
FAM120B	0.75	0
PSMB1	0.28	0.97
TBP	0.62	0.02
PDCD2	1.37	0
FAM20C	0.49	0.31
AC145676.2	NA	 NA
PDGFA	0.48	0.81
PRKAR1B	0.54	0.18
HEATR2	0.94	0
SUN1	0.56	0
GET4	0.5	0.56
ADAP1	0.44	0.53
COX19	1.91	0
CYP2W1	1.1	0
C7orf50	1.79	0
GPR146	1.06	0.15
GPER1	0.69	0.57
ZFAND2A	1.69	0
UNCX	0.64	0.63
MICALL2	1.37	0
INTS1	0.48	0
MAFK	0.73	0.71
TMEM184A	1.37	0
PSMG3	1.53	0.2
ELFN1	0.15	1
AC074389.6	NA	 NA
MAD1L1	0.97	0
AC110781.3	1.87	0.1
FTSJ2	1.57	0
NUDT1	1.94	0
SNX8	0.57	0.06
EIF3B	0.07	1
CHST12	1.28	0
LFNG	0.69	0.1
BRAT1	0.99	0
IQCE	1.58	0
TTYH3	0.21	1
AMZ1	1.94	0
GNA12	0.28	0.97
CARD11	0.23	1
AC091801.1	1.65	0.17
SDK1	0.4	0
FOXK1	0.4	0.81
AP5Z1	1.47	0
RADIL	1.21	0
PAPOLB	0.81	0
MMD2	1.42	0
RBAK-RBAKDN	0.8	0.49
RBAK	0.92	0
WIPI2	0.62	0.01
SLC29A4	0.92	0
TNRC18	0.29	0.99
FBXL18	0.88	0
ACTB	0.23	0.99
FSCN1	0.41	0.87
RNF216	0.55	0
OCM	1.94	0
CCZ1	0.92	0
RSPH10B	0.88	0
PMS2	1.27	0
AIMP2	0.97	0.01
EIF2AK1	0.71	0
ANKRD61	1.15	0
USP42	0.13	1
CYTH3	0.42	0.72
FAM220A	NA	 NA
RAC1	0.47	0.76
DAGLB	0.99	0
KDELR2	0.74	0.17
GRID2IP	0.42	0.12
ZDHHC4	1.53	0
C7orf26	0.3	0.98
ZNF853	0.52	0
ZNF12	0.51	0.04
AC073343.1	1.57	0
RSPH10B2	0.6	0.02
CCZ1B	1.29	0
C1GALT1	0.47	0.76
COL28A1	1.04	0
MIOS	0.7	0
RPA3	1.95	0
RPA3-AS1	1.44	0.23
GLCCI1	0.57	0.06
ICA1	0.58	0
NXPH1	0.62	0.48
NDUFA4	1.4	0.02
PHF14	0.4	0.27
THSD7A	0.21	1
TMEM106B	0.6	0.33
VWDE	1.12	0
SCIN	1.66	0
ARL4A	0.55	0.81
ETV1	0.35	0.94
DGKB	0.37	0.53
AGMO	1.71	0
MEOX2	0.39	0.91
ISPD	0.82	0
SOSTDC1	1.01	0.16
LRRC72	1.29	0
ANKMY2	0.92	0
BZW2	0.53	0.1
TSPAN13	1.11	0
AGR2	1.58	0
AGR3	1.98	0
AHR	0.15	1
SNX13	0.36	0.4
PRPS1L1	0.79	0.29
HDAC9	0.25	1
TWIST1	1.06	0.34
FERD3L	1.12	0.32
TWISTNB	0.54	0.62
TMEM196	1.76	0
MACC1	1.29	0
ITGB8	0.26	1
ABCB5	1.13	0
SP8	0.28	0.97
SP4	0.28	0.99
DNAH11	0.67	0
CDCA7L	0.68	0
RAPGEF5	0.3	0.98
STEAP1B	1.28	0
IL6	0.75	0.32
TOMM7	1.76	0.01
FAM126A	0.48	0.12
KLHL7	0.64	0
NUPL2	1.28	0
AC005082.1	1.87	0.1
GPNMB	1.68	0
MALSU1	1.91	0
IGF2BP3	0.1	1
TRA2A	0.59	0.01
CCDC126	1.18	0.12
FAM221A	1.66	0
STK31	0.42	0.01
NPY	1.08	0.14
MPP6	0.38	0.82
DFNA5	1.12	0
OSBPL3	0.54	0
CYCS	0.91	0.64
C7orf31	1.02	0
NPVF	1.76	0
NFE2L3	1.31	0
HNRNPA2B1	0.22	1
CBX3	0.67	0.41
SNX10	1.66	0
KIAA0087	1.93	0
C7orf71	1.82	0
SKAP2	0.67	0
HOXA1	0.63	0.29
HOXA2	0.7	0.2
HOXA3	0.35	0.94
HOXA4	1.63	0
HOXA5	1.23	0
HOXA6	1.53	0
HOXA7	1.48	0
HOXA9	1.62	0
RP1-170O19.20	1.47	0.01
HOXA10	0.42	0.88
HOXA11	0.33	0.94
HOXA13	0.31	0.96
EVX1	1.52	0
HIBADH	0.83	0.01
TAX1BP1	0.65	0
JAZF1	0.41	0.9
CREB5	0.48	0.22
CPVL	1.07	0
CHN2	0.63	0
PRR15	1.24	0.54
WIPF3	0.81	0
SCRN1	0.69	0
FKBP14	1.66	0
PLEKHA8	0.95	0
MTURN	0.87	0.44
ZNRF2	0.96	0.07
NOD1	1.17	0
GGCT	1.33	0
GARS	0.4	0.31
CRHR2	1.28	0
INMT	1.65	0
FAM188B	1.13	0
AQP1	1.08	0
AQP1	0.88	0.09
GHRHR	0.93	0
ADCYAP1R1	0.87	0
NEUROD6	0.42	0.88
CCDC129	1.39	0
PPP1R17	1.56	0
PDE1C	0.7	0
LSM5	1.35	0.03
AVL9	0.53	0
KBTBD2	0.23	1
FKBP9	0.81	0
NT5C3A	0.7	0.02
RP9	0.8	0.02
BBS9	0.84	0
RP11-89N17.1	NA	 NA
BMPER	0.66	0
NPSR1	1.16	0
DPY19L1	0.56	0
TBX20	0.32	0.97
HERPUD2	0.34	0.95
7-Sep	0.19	1
PP13004	1.88	0.1
EEPD1	0.58	0.05
KIAA0895	0.97	0
ANLN	0.37	0.14
AOAH	0.95	0
ELMO1	0.33	0.9
GPR141	1.94	0
NME8	1.34	0
SFRP4	0.95	0
EPDR1	1.05	0.02
STARD3NL	0.86	0
AMPH	0.57	0
FAM183B	NA	 NA
VPS41	0.84	0
POU6F2	0.56	0
YAE1D1	1.08	0
RALA	0.27	0.97
CDK13	0.32	0.91
MPLKIP	1.67	0
SUGCT	1.03	0
INHBA	0.25	0.98
GLI3	0.2	1
C7orf25	0.59	0.35
PSMA2	0.28	0.98
MRPL32	1.45	0
HECW1	0.25	1
STK17A	0.61	0.04
COA1	1.28	0.01
BLVRA	0.92	0
MRPS24	1.15	0
URGCP-MRPS24	1.35	0
URGCP	0.4	0.58
UBE2D4	1.47	0
SPDYE1	1.37	0
DBNL	0.55	0.02
PGAM2	1.77	0
POLM	1.1	0
AEBP1	0.64	0
POLD2	0.69	0
MYL7	1.62	0
GCK	0.44	0.63
YKT6	0.58	0.36
CAMK2B	0.36	0.74
NUDCD3	0.49	0.45
NPC1L1	0.94	0
DDX56	0.85	0
TMED4	0.66	0.24
OGDH	0.27	1
ZMIZ2	0.22	1
PPIA	0.71	0.56
H2AFV	0.82	0.47
PURB	0.64	0.63
MYO1G	0.65	0
CCM2	0.66	0.01
NACAD	0.41	0.16
TBRG4	0.74	0
RAMP3	1.57	0.02
ADCY1	0.27	1
IGFBP1	1.19	0
IGFBP3	0.39	0.91
AC011294.3	1.91	0
TNS3	0.19	1
C7orf65	1.86	0.01
PKD1L1	0.73	0
C7orf69	1.83	0
HUS1	1.12	0
SUN3	1.45	0
C7orf57	1.58	0
UPP1	1.12	0
ABCA13	1.03	0
VWC2	0.27	0.97
ZPBP	0.8	0
C7orf72	1.29	0
IKZF1	0.16	1
FIGNL1	0.79	0
DDC	0.92	0
GRB10	0.34	0.94
COBL	0.47	0
POM121L12	NA	 NA
VSTM2A	0.64	0.27
SEC61G	0.93	0.63
EGFR	0.35	0.37
LANCL2	0.46	0.31
VOPP1	0.74	0.33
14-Sep	0.98	0
MRPS17	1.64	0
ZNF713	1.04	0
GBAS	1.12	0
MRPS17	1.69	0.01
PSPH	1.19	0
CCT6A	0.26	1
SUMF2	1.28	0
PHKG1	1.25	0
CHCHD2	1.9	0
NUPR1L	1.94	0
ZNF479	1.79	0
ZNF716	1.88	0
ZNF727	1.78	0
ZNF679	0.98	0.18
ZNF736	1.84	0
ZNF680	0.9	0.42
ZNF107	1.9	0.02
ZNF138	1.69	0.05
ZNF273	1.34	0.03
ZNF117	1.72	0.4
ERV3-1	NA	 NA
ZNF92	1.84	0
AC104057.1	1.87	0.31
VKORC1L1	0.49	0.84
GUSB	0.75	0
ASL	0.94	0
AC068533.7	1.3	0
CRCP	1.74	0
TPST1	0.54	0.29
KCTD7	0.65	0
RABGEF1	0.65	0
TMEM248	0.48	0.74
SBDS	1.23	0
TYW1	0.75	0
AUTS2	0.25	1
WBSCR17	0.49	0.12
CALN1	0.72	0.03
TYW1B	1.77	0
POM121	0.53	0.06
TRIM74	1.27	0.01
NSUN5	1.3	0
TRIM50	1.25	0
FKBP6	1.03	0
FZD9	0.83	0
BAZ1B	0.11	1
BCL7B	0.71	0.19
TBL2	0.86	0
MLXIPL	0.47	0.05
VPS37D	0.38	0.92
DNAJC30	1.42	0.02
WBSCR22	0.74	0
STX1A	0.29	0.98
ABHD11	0.94	0
CLDN3	0.76	0.52
CLDN4	1.83	0
WBSCR27	1.02	0.06
WBSCR28	1.64	0
ELN	0.87	0
LIMK1	0.23	1
EIF4H	0.55	0.44
LAT2	0.83	0
RFC2	0.98	0
CLIP2	0.2	1
GTF2IRD1	0.33	0.9
GTF2I	0.27	1
NCF1	1.13	0
GTF2IRD2	1.17	0
GATSL2	1.62	0.43
WBSCR16	0.96	0
GTF2IRD2B	0.64	0.06
TRIM73	1.76	0
POM121C	1.05	0
HIP1	0.33	0.76
CCL26	1.75	0.01
CCL24	1.84	0.01
RHBDD2	0.53	0.64
POR	0.84	0
STYXL1	1.41	0
MDH2	0.81	0.01
SRRM3	0.53	0.21
HSPB1	1.87	0
YWHAG	0.29	0.96
SRCRB4D	1.18	0
ZP3	0.95	0
DTX2	0.57	0.03
UPK3B	1.22	0
POMZP3	1.35	0
CCDC146	1.07	0
FGL2	1.01	0
GSAP	1	0
PTPN12	0.19	1
RSBN1L	0.37	0.8
TMEM60	0.64	0.75
PHTF2	0.55	0
MAGI2	0.26	1
GNAI1	0.38	0.91
CD36	2	0
GNAT3	1.03	0
SEMA3C	0.52	0
AC005008.2	1.8	0
HGF	0.25	1
CACNA2D1	0.24	1
PCLO	0.12	1
SEMA3E	0.68	0
SEMA3A	0.31	0.98
SEMA3D	0.66	0
GRM3	0.38	0.78
KIAA1324L	0.54	0
DMTF1	0.32	0.97
TMEM243	1.9	0
CROT	1.17	0
ABCB4	0.51	0
ABCB1	0.47	0
RUNDC3B	0.63	0
SLC25A40	1.03	0
DBF4	0.28	0.99
ADAM22	0.36	0.25
SRI	1.46	0
STEAP4	1.03	0
ZNF804B	1	0
C7orf62	1.63	0
STEAP1	1.2	0
STEAP2	0.97	0
C7orf63	0.6	0
GTPBP10	0.74	0
CLDN12	1.09	0.05
CDK14	0.95	0
FZD1	0.6	0.04
MTERF	1.26	0
AKAP9	0.4	0
CYP51A1	1.01	0
LRRD1	0.88	0
KRIT1	0.5	0
ANKIB1	0.21	1
GATAD1	0.65	0.43
ERVW-1	NA	 NA
PEX1	0.66	0
RBM48	1.3	0
FAM133B	0.82	0
CDK6	0.28	0.98
SAMD9	1.24	0
SAMD9L	0.78	0
HEPACAM2	1.25	0
CCDC132	0.33	0.81
CALCR	0.93	0
GNGT1	1.33	0.25
TFPI2	1.22	0
GNG11	1.2	0.55
BET1	1.6	0
COL1A2	0.2	1
